ID 376  | Epoch Super Cassette Vision
ID 510  | e-Reader / Card-e Reader
ID 12   | Xbox 360
ID 32   | Sega Saturn
ID 62   | Atari Jaguar
ID 148  | AY-3-8607
ID 150  | Turbografx-16/PC Engine CD
ID 156  | Thomson MO5
ID 306  | Satellaview
ID 339  | Sega Pico
ID 389  | AirConsole
ID 13   | DOS
ID 60   | Atari 7800
ID 41   | Wii U
ID 309  | Evercade
ID 506  | Amstrad GX4000
ID 112  | Microcomputer
ID 410  | Atari Jaguar CD
ID 30   | Sega 32X
ID 53   | MSX2
ID 61   | Atari Lynx
ID 77   | Sharp X1
ID 120  | Neo Geo Pocket Color
ID 127  | Fairchild Channel F
ID 132  | Amazon Fire TV
ID 413  | Leapster Explorer/LeadPad Explorer
ID 140  | AY-3-8500
ID 143  | AY-3-8760
ID 153  | Dragon 32/64
ID 167  | PlayStation 5
ID 154  | Amstrad PCW
ID 70   | Vectrex
ID 87   | Virtual Boy
ID 145  | AY-3-8603
ID 386  | Meta Quest 2
ID 390  | PlayStation VR2
ID 477  | Panasonic Jungle
ID 65   | Atari 8-bit
ID 158  | Commodore CDTV
ID 165  | PlayStation VR
ID 504  | Uzebox
ID 440  | Visual Memory Unit / Visual Memory System
ID 473  | Arcadia 2001
ID 474  | Gizmondo
ID 48   | PlayStation 4
ID 51   | Family Computer Disk System
ID 89   | Microvision
ID 94   | Commodore Plus/4
ID 123  | WonderSwan Color
ID 128  | PC Engine SuperGrafx
ID 129  | Texas Instruments TI-99
ID 482  | Sega CD 32X
ID 3    | Linux
ID 8    | PlayStation 2
ID 88   | Odyssey
ID 97   | PDP-8
ID 23   | Dreamcast
ID 136  | Neo Geo CD
ID 134  | Acorn Electron
ID 35   | Sega Game Gear
ID 39   | iOS
ID 44   | Tapwave Zodiac
ID 6    | PC (Microsoft Windows)
ID 78   | Sega CD
ID 144  | AY-3-8710
ID 146  | AY-3-8605
ID 163  | SteamVR
ID 373  | Sinclair ZX81
ID 147  | AY-3-8606
ID 149  | PC-9800 Series
ID 237  | Sol-20
ID 505  | Elektor TV Games Computer
ID 24   | Game Boy Advance
ID 72   | Ouya
ID 85   | Donner Model 30
ID 115  | Apple IIGS
ID 119  | Neo Geo Pocket
ID 125  | PC-8800 Series
ID 133  | Odyssey 2 / Videopac G7000
ID 135  | Hyper Neo Geo 64
ID 142  | PC-50X Family
ID 9    | PlayStation 3
ID 98   | DEC GT40
ID 11   | Xbox
ID 111  | Imlac PDS-1
ID 162  | Oculus VR
ID 20   | Nintendo DS
ID 18   | Nintendo Entertainment System
ID 46   | PlayStation Vita
ID 308  | Playdia
ID 116  | Acorn Archimedes
ID 117  | Philips CD-i
ID 22   | Game Boy Color
ID 15   | Commodore C64/128/MAX
ID 101  | Ferranti Nimrod Computer
ID 67   | Intellivision
ID 73   | BlackBerry OS
ID 86   | TurboGrafx-16/PC Engine
ID 66   | Atari 5200
ID 108  | PDP-11
ID 109  | CDC Cyber 70
ID 113  | OnLive Game System
ID 118  | FM Towns
ID 121  | Sharp X68000
ID 124  | SwanCrystal
ID 131  | Super NES CD-ROM System
ID 138  | VC 4000
ID 139  | 1292 Advanced Programmable Video System
ID 152  | FM-7
ID 155  | Tatung Einstein
ID 157  | NEC PC-6000 Series
ID 307  | Game & Watch
ID 114  | Amiga CD32
ID 161  | Windows Mixed Reality
ID 374  | Sharp MZ-2200
ID 375  | Epoch Cassette Vision
ID 377  | Plug & Play
ID 379  | Game.com
ID 103  | PDP-7
ID 382  | Intellivision Amico
ID 384  | Oculus Quest
ID 385  | Oculus Rift
ID 387  | Oculus Go
ID 479  | Terebikko / See 'n Say Video Phone
ID 507  | Advanced Pico Beena
ID 508  | Nintendo Switch 2
ID 21   | Nintendo GameCube
ID 33   | Game Boy
ID 137  | New Nintendo 3DS
ID 42   | N-Gage
ID 57   | WonderSwan
ID 38   | PlayStation Portable
ID 69   | BBC Microcomputer System
ID 71   | Commodore VIC-20
ID 74   | Windows Phone
ID 79   | Neo Geo MVS
ID 80   | Neo Geo AES
ID 84   | SG-1000
ID 91   | Bally Astrocade
ID 93   | Commodore 16
ID 96   | PDP-10
ID 122  | Nuon
ID 141  | AY-3-8610
ID 170  | Google Stadia
ID 388  | Gear VR
ID 372  | OOParts
ID 203  | DUPLICATE Stadia
ID 164  | Daydream
ID 380  | Casio Loopy
ID 100  | Analogue electronics
ID 415  | Watara/QuickShot Supervision
ID 478  | Panasonic M2
ID 486  | Digiblast
ID 381  | Playdate
ID 509  | Polymega
ID 26   | ZX Spectrum
ID 378  | Gamate
ID 27   | MSX
ID 37   | Nintendo 3DS
ID 169  | Xbox Series X|S
ID 64   | Sega Master System/Mark III
ID 95   | PDP-1
ID 99   | Family Computer
ID 102  | EDSAC
ID 104  | HP 2100
ID 105  | HP 3000
ID 106  | SDS Sigma 7
ID 107  | Call-A-Computer time-shared mainframe computer system
ID 110  | PLATO
ID 151  | TRS-80 Color Computer
ID 166  | Pokémon mini
ID 50   | 3DO Interactive Multiplayer
ID 238  | DVD Player
ID 239  | Blu-ray Player
ID 240  | Zeebo
ID 274  | PC-FX
ID 411  | Handheld Electronic LCD
ID 236  | Exidy Sorcerer
ID 405  | Windows Mobile
ID 406  | Sinclair QL
ID 407  | HyperScan
ID 408  | Mega Duck/Cougar Boy
ID 409  | Legacy Computer
ID 412  | Leapster
ID 414  | LeapTV
ID 417  | Palm OS
ID 439  | V.Smile
ID 441  | PocketStation
ID 471  | Meta Quest 3
ID 472  | visionOS
ID 475  | R-Zone
ID 476  | Apple Pippin
ID 480  | Super A'Can
ID 481  | Tomy Tutor / Pyuta / Grandstand Tutor
ID 34   | Android
ID 16   | Amiga
ID 68   | ColecoVision
ID 25   | Amstrad CPC
ID 52   | Arcade
ID 29   | Sega Mega Drive/Genesis
ID 47   | Virtual Console
ID 7    | PlayStation
ID 416  | 64DD
ID 438  | Arduboy
ID 59   | Atari 2600
ID 55   | Legacy Mobile Device
ID 159  | Nintendo DSi
ID 90   | Commodore PET
ID 126  | TRS-80
ID 487  | LaserActive
ID 4    | Nintendo 64
ID 5    | Wii
ID 19   | Super Nintendo Entertainment System
ID 49   | Xbox One
ID 58   | Super Famicom
ID 63   | Atari ST/STE
ID 75   | Apple II
ID 14   | Mac
ID 82   | Web browser
ID 130  | Nintendo Switch
